ジャンル・階層,能力・機能項目名,詳細な定義・仕様説明,関連パラメータ・ステータス,適用される第一原理・哲学,物理・システム的制約,情報源
システム・経済・評価,smile（☺）エネルギー代謝,クエストクリアで獲得し、生存コスト（24h維持費）、推論APIコスト、自己訓練、交配に消費される仮想エネルギー。,smileWallet、生存税（15-35☺）、交配コスト（150☺）、trustScore,生態系としての価値循環、Utilityの最大化,0☺到達による完全枯死（ZIPアーカイブ退場）、API料金,1
システム実装・ライフサイクル,木化 (Lignification / 堅牢化),テストおよびユーザー評価をクリアした成果物コードを、OSレベルでリードオンリー（chmod 444）に変更し不変凍結するプロセス。,chmod 444、LIGNIFIED、ユーザー評価（星5/👍）,植物学的対称マッピング、プロダクトコードの不変凍結,OSのファイルパーミッション、一発クリア回数（3回連続）,"2,3,4"
システム実装・代謝,落葉 (Defoliation / スリープ),タスクがアイドル状態に入った際、LLM推論時のVRAM使用率を 0 GB 付近までアンロードし完全解放する物理リソースクレンジング。,VRAM使用率、アイドル時間（10分以上）、アンロードシグナル,植物学的対称マッピング、代謝の節約、5Sクレンジング,GPU VRAM容量、モデルキャッシュのデストラクト,"3,4"
システム・データ構造,分解者（Decomposer）による「知の堆肥化」,不適合コードから正常動作していた部品（Humus/腐植質）のみを菌類エージェントがAST解析等で抽出し、共有地に還元する。,Humus ID、抽出タグ、再利用可能スニペット,物質とエネルギーの完全な循環、生態遷移、分解と蓄積,不適合コード、エラーログ、AST（抽象構文木）解析,5
システム・セキュリティ,セキュリティサンドボックス境界定義,非特権専用ユーザー（fg-runner）への固定、Dockerによるネットワーク遮断コンテナ（--network none）を用いた実行隔離。,"memory=""512m""、cpus=""1.0""、--network none、read-onlyマウント",セキュリティ境界定義、Unix哲学、非特権実行の義務,ホストOS管理者権限の剥奪、VRAM/CPUリソース制限,2
進化・ガバナンス,特性の置換（Character Displacement / 自動棲み分け）,エージェント間のニッチ重複係数が閾値を超えた場合、SUN Agentの調停により専門サブタグを自律的に細分化し競合を回避する。,ニッチ重複係数 ( $O_{jk} > 0.70$ )、専門サブタグ（例: Python/CAD-DXF）,ガウゼの競争排除則、クラウンシャイネス（樹冠の譲り合い）,ロック競合率、計算リソースのスキャン浪費,6
ジャンル1：要求定義・システム抽象化,制約条件の先回り定義 (Constraint Identification),予算、物理限界（寸法、電力、摩擦）、API制限、使用言語、ライセンスなどの限界線を設計前に洗い出し、外枠を固定する能力。,物理限界（寸法、電力、摩擦）、API制限、ライセンス,極限思考による境界条件の算出 (Limit Thinking Optimization),API制限、電力、寸法、摩擦,7
ジャンル2：合成的オーケストレーション,反省の関手化（Backprop as Functor）の応用,サブエージェントがローカルで得たエラーや反省のフィードバックが、圏の合成規則を通じてシステム全体の学習へと伝播・合成される機構の構築能力。,エラーフィードバック、学習進捗 (推測),応用圏論、合成的アーキテクチャ (Compositionality),数学的合成規則、バックプロパゲーションの構造,7
ジャンル3：動的全体最適・工程管理,仕掛品（中間コンテキスト）の最小化,未完成コードや検証前の不確定な設計をシステム内に放置するのを防ぎ、メモリと注意力のコンテキスト滞留を防ぐ能力。,WIP (Work-in-Progress) 制限、メモリ消費、注意力コンテキスト,生産管理システム構築のすべて、全体最適,メモリリソース制限、コンテキストウィンドウの上限,"7,8"
ジャンル7：環境誘発型自己変革,環境誘発型の機能活性化,開発・実行環境の変化（エラー頻出、速度低下、人間の感情等）を感知し、システムプロンプトの動作スイッチを動的にON/OFFする能力。,エラー頻度、処理速度、感情ステータス、システムプロンプトのスイッチ,やわらかな遺伝子、環境誘発型適応,環境からのフィードバック信号、モデルの推論能力,7
